Customer Name,Marketer,Region,Status
AKHSAH pharma new plant,Aaira Khan,Islamabad,Developed
Alen Pharmaceutical (Pvt.) Ltd.,,KPK,Undeveloped
Aries Pharmaceutical (Pvt.) Ltd.,Aaira Khan,KPK,Developed
"Arreta Pharma,",Imran Khan,Islamabad,Developed
Ashraf Sons Pharmaceuticals Pvt Ltd,,KPK,Developed
Astellas Pharmaceuticals Pvt Ltd,,KPK,Developed
Athans Pharmaceuticals,Hamza Ali Khan,Islamabad,Developed
Atlantic Pharmaceuticals,,KPK,Undeveloped
Attabak Pharmaceuticals Industries,Imran Khan,Islamabad,Undeveloped
Aulton Pharmaeuticals,Hamza Ali Khan,Islamabad,Developed
Benson Pharmaceuticals,Hamza Ali Khan,Islamabad,Developed
BIORIFIC PHARMA,,Islamabad,Developed
Bio Labs Pvt Ltd,Hamza Ali Khan,Islamabad,Developed
Biogen Pharmaceutical Pvt Ltd,Imran Khan,Islamabad,Developed
Biogen Life Sciences Pvt Ltd,Imran Khan,Islamabad,Developed
Bio-Next pharmaceuticals,Hamza Ali Khan,Islamabad,Undeveloped
Biorex Pharmaceuticals,Imran Khan,Islamabad,Developed
Bloom Pharmaceuticals Pvt Ltd,Imran Khan,Islamabad,Developed
Brooklyn Pharmaceuticals,,KPK,Undeveloped
"Bryon Pharmaceuticals Pvt Ltd,",Imran Khan,Islamabad,Developed
Caliph Pharmaceutical (Pvt.) Ltd.,Imran Khan,KPK,Developed
Carer Pharmaceuticals,Imran Khan,Islamabad,Developed
Crest Pharmaceuticals,Imran Khan,Islamabad,Developed
Crystolite Pharmaeuticals Pvt Ltd,Imran Khan,Islamabad,Developed
CSH Pharmaceutical-North (Pvt) Ltd,,KPK,Developed
Cure Laboratories,Imran Khan,Islamabad,Developed
Danas Pharmaeuticals Pvt Ltd,Imran Khan,Islamabad,Developed
Davis Pharmaceuticals Laboratories,Imran Khan,Islamabad,Developed
Dew Max Pharmaceutical,Imran Khan,Islamabad,Developed
D-haans Pharma (Pvt.) Ltd.,Aaira Khan,Islamabad,Developed
"Dr. Raza Pharma Pvt Ltd,",Hamza Ali Khan,KPK,Developed
EG Pharma,Imran Khan,Islamabad,Undeveloped
Elegance Pharmaceuticals,Imran Khan,Islamabad,Undeveloped
Eterna Pharma Pvt Ltd,Imran Khan,Islamabad,Undeveloped
Evolution Pharmaeuticals Pvt Ltd,Imran Khan,Islamabad,Developed
FALCON LABORATORIES (PRIVATE) LIMITED.,,KPK,Developed
Farm Aid Group,Imran Khan,Islamabad,Developed
Fassgen Pharmaceuticals,Imran Khan,Islamabad,Developed
Fast Pharmaceutical,Imran Khan,Islamabad,Undeveloped
Fedro Pharmaceutical,Imran Khan,KPK,Developed
Ferozsons Laboratories Limited,Imran Khan,KPK,Undeveloped
Filix Pharmaceuticals,Hamza Ali Khan,Islamabad,Developed
Focus & Rulz Pharmaceuticals Pvt Ltd,Imran Khan,Islamabad,Developed
Fozan Pharmaceuticals,Hamza Ali Khan,KPK,Developed
Fredman Pharmaceuticals,Imran Khan,KPK,Developed
Fresh Pharmaceuticals,Imran Khan,Islamabad,Developed
Genom Pharmaceutical,Imran Khan,Islamabad,Developed
Gilman Pharmaceutical (Pvt.) Ltd.,Aaira Khan,KPK,Undeveloped
Glitz Pharmaceuticals,Imran Khan,Islamabad,Developed
Global Pharmaceuticals Pvt Ltd,Imran Khan,Islamabad,Developed
Global Pharmaceuticals Pakistan Pvt Ltd.,Imran Khan,Islamabad,Developed
Glorious lab,Imran Khan,Islamabad,Developed
"Grand Pharma Pvt Ltd,",Imran Khan,Islamabad,Undeveloped
Greater Pharma,Imran Khan,Islamabad,Developed
Grays pharmaceuticals,Imran Khan,Islamabad,Developed
Gulf Pharmaeuticals,Imran Khan,Islamabad,Developed
Haarolds Pharmaceuticals,Aaira Khan,Islamabad,Undeveloped
Hawk Bio Pharma Pvt Ltd,Imran Khan,Islamabad,Undeveloped
Heal Pharmaceuticals Pvt Ltd,Imran Khan,KPK,Developed
HiSun Pharmaceutical Industries,,KPK,Undeveloped
Hicon Pharmaceuticals,,KPK,Developed
"Hizat Pharmaceutical Industry, Ltd",,KPK,Undeveloped
Hygeia Pharmaceuticals,Imran Khan,Islamabad,Developed
Innvotek Pharma,Imran Khan,Islamabad,Developed
Invectus Pharmaeuticals,Imran Khan,Islamabad,Developed
Ipram Pharmaeutical International,Imran Khan,Islamabad,Developed
Iqra Pharmaceuticals,Imran Khan,Islamabad,Developed
ONYX PHARMACEUTICALS (PVT) LTD,Imran Khan,KPK,Developed
Rite Bio Sciences,Imran Khan,Islamabad,Developed
JHK PHARMA (PVT) LTD,,KPK,Undeveloped
JSK medical pvt ltd,,KPK,Developed
Kanel Pharmaceuticals,Hamza Ali Khan,Islamabad,Developed
Karsons Pharmaeuticals,Imran Khan,Islamabad,Developed
Lawari International Pharmaceutical,Imran Khan,KPK,Developed
Legacy Pharmaceuticals Pvt Ltd,,KPK,Developed
Leads Pharma (Pvt.) Ltd.,Imran Khan,Islamabad,Undeveloped
Linear Pharmaceuticals,Imran Khan,Islamabad,Developed
Linta Pharmaceuticals (Pvt) Ltd.,Imran Khan,Islamabad,Developed
"Lowitt Pharma Pvt Ltd,",Imran Khan,KPK,Developed
Max Pharmaceutical,Imran Khan,Islamabad,Developed
Medera Pharmaeuticals,Imran Khan,Islamabad,Developed
Medicon Pharmaceutical (Pvt) Ltd,Aaira Khan,KPK,Developed
"Medicraft Pharmaceuticals, Pvt Ltd",Hamza Ali Khan,KPK,Developed
Mediexcel Pharmaceuticals,Imran Khan,Islamabad,Undeveloped
Medifine Laboratories,Imran Khan,KPK,Developed
Medisynth Pharmaceuticals,Imran Khan,Islamabad,Developed
Metro Pharmaeuticals,Imran Khan,Islamabad,Developed
Miracle Pharmaceuticals (Pvt.) Ltd,Imran Khan,Islamabad,Developed
"MKB Pharmaceuticals (Pvt.), Ltd",,KPK,Developed
Nagar Sons Pharmaceuticals (Pvt.) Ltd.,,Islamabad,Developed
Nahal Pharmaceuticals (Pvt.) Ltd.,Imran Khan,Islamabad,Developed
Navegal Laboratories,Imran Khan,Islamabad,Developed
Nawal Pharmaceutical,,KPK,Developed
Nenza Pharmaceuticals Pvt Ltd,,KPK,Undeveloped
